Wavelength,Toluene,EtOH,DMF,ACN,MeOH,Hexanes,Acetone
709,0.020928826,0.023872981,0.024461897,0.022929872,0.020806578,0.026147725,0.021623584
708,0.021073851,0.02386669,0.024149236,0.022778688,0.020809429,0.025968209,0.021560413
707,0.021263017,0.02383948,0.024104002,0.022671027,0.020861437,0.025808354,0.021595343
706,0.021377943,0.02360275,0.024360006,0.02275741,0.020688084,0.025833573,0.021714357
705,0.021643908,0.023767345,0.024256689,0.022867329,0.020854457,0.02601449,0.021555434
704,0.021755533,0.023833463,0.024174797,0.022729559,0.02088887,0.025968429,0.021714221
703,0.022033385,0.023867921,0.024232957,0.022795847,0.020856494,0.026067097,0.021779402
702,0.022087065,0.023962967,0.024250886,0.02309323,0.02093108,0.026168344,0.021781062
701,0.022358453,0.023998557,0.024498404,0.023294939,0.02119063,0.026530257,0.022155162
700,0.02219973,0.023898033,0.024273879,0.023117118,0.021215528,0.026272613,0.021957003
699,0.021969093,0.023554129,0.023807649,0.022710848,0.020762207,0.025950044,0.021599506
698,0.021859237,0.023446249,0.023605182,0.02249147,0.020497161,0.025707959,0.021403885
697,0.022140697,0.023538634,0.023665973,0.022515761,0.02086084,0.025604952,0.02148327
696,0.022030553,0.023792473,0.023555605,0.022522905,0.020992775,0.025608467,0.021465999
695,0.022179815,0.023651622,0.023504339,0.02256781,0.020925675,0.025599488,0.021508756
694,0.022110353,0.023618274,0.023546969,0.022488608,0.020757346,0.025724191,0.021417998
693,0.022092621,0.023633499,0.023562546,0.022557885,0.02082108,0.025898495,0.021443372
692,0.022074537,0.023641043,0.023358281,0.022380474,0.020789877,0.025825936,0.021465347
691,0.022171125,0.023703998,0.023239717,0.022368264,0.020685179,0.025517837,0.021395455
690,0.02199055,0.023641918,0.023027606,0.022325532,0.020627845,0.025431974,0.021171006
689,0.022075517,0.02349166,0.023165334,0.022484655,0.02076199,0.025626562,0.021324894
688,0.022172242,0.023707197,0.023182181,0.022464646,0.021007065,0.025553719,0.021362743
687,0.022135059,0.023672369,0.02320277,0.022324605,0.020664085,0.025596578,0.021392164
686,0.022012062,0.023677317,0.02296928,0.022302505,0.020666691,0.025664348,0.02131111
685,0.022137319,0.023511307,0.023106661,0.022400044,0.02071822,0.025638699,0.021403096
684,0.022078404,0.023742355,0.023322253,0.022451888,0.020806632,0.025798794,0.021505955
683,0.021995152,0.0236973,0.023125608,0.022265474,0.020760632,0.025581394,0.021451231
682,0.022191666,0.023771364,0.02316386,0.022356463,0.021072438,0.025847722,0.02166905
681,0.022107193,0.023627103,0.022974138,0.022256755,0.020800848,0.025629363,0.021247168
